Date,Open,High,Low,Close,Volume
1986-03-13,0.0615709,0.069028,0.0615709,0.069028,1496329307.4141
1986-03-14,0.069028,0.069028,0.069028,0.069028,446902324.11986
1986-03-17,0.069028,0.069028,0.069028,0.069028,193128624.75364
1986-03-18,0.069028,0.069028,0.069028,0.069028,98276748.893541
1986-03-19,0.069028,0.069028,0.069028,0.069028,69457809.057236
1986-03-20,0.069028,0.069028,0.0615709,0.069028,84744373.723361
1986-03-21,0.069028,0.069028,0.0615709,0.0615709,86999769.928347
1986-03-24,0.0615709,0.0615709,0.0615709,0.0615709,94684826.867897
1986-03-25,0.0615709,0.0615709,0.0615709,0.0615709,46527958.968441
1986-03-26,0.0615709,0.069028,0.0615709,0.0615709,32995592.037218
1986-03-27,0.0615709,0.069028,0.0615709,0.069028,24433443.439308
1986-03-31,0.069028,0.069028,0.0615709,0.069028,18669658.973604
1986-04-01,0.069028,0.069028,0.0615709,0.0615709,16080128.738779
1986-04-02,0.0615709,0.069028,0.0615709,0.069028,39177045.327559
1986-04-03,0.069028,0.069028,0.069028,0.069028,33413254.682636
1986-04-04,0.069028,0.069028,0.069028,0.069028,38550548.784759
1986-04-07,0.069028,0.069028,0.0615709,0.0615709,24015780.79389
1986-04-08,0.0615709,0.069028,0.0615709,0.069028,14868900.990838
1986-04-09,0.069028,0.069028,0.069028,0.069028,17625493.606168
1986-04-10,0.069028,0.069028,0.069028,0.069028,20131483.896847
1986-04-11,0.069028,0.069028,0.069028,0.069028,24976410.336659
1986-04-14,0.069028,0.069028,0.069028,0.069028,17625493.606168
1986-04-15,0.069028,0.069028,0.069028,0.069028,13490604.683172
1986-04-16,0.069028,0.069028,0.069028,0.069028,46277364.882748
1986-04-17,0.069028,0.069028,0.069028,0.069028,31909663.391864
1986-04-18,0.069028,0.069028,0.069028,0.069028,31366698.554251
1986-04-21,0.069028,0.069028,0.069028,0.069028,33246194.36187
1986-04-22,0.069028,0.069028,0.069028,0.069028,22553944.542079
1986-04-23,0.069028,0.069028,0.069028,0.069028,22637486.545964
1986-04-24,0.069028,0.0768932,0.069028,0.0768932,90424625.454008
1986-04-25,0.0768932,0.0845253,0.0768932,0.0845253,124422616.49113
1986-04-28,0.0845253,0.0845253,0.0768932,0.0845253,41891868.485753
1986-04-29,0.0845253,0.0845253,0.0768932,0.0768932,43980199.220624
1986-04-30,0.0768932,0.0768932,0.0768932,0.0768932,44815532.750415
1986-05-01,0.0768932,0.0768932,0.0768932,0.0768932,78813522.757672
1986-05-02,0.0768932,0.0768932,0.0768932,0.0768932,29361898.494698
1986-05-05,0.0768932,0.0768932,0.0768932,0.0768932,4719627.3372257
